x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R
652 938        2173 939      702 956         2226 952
627 666        2148 663      688 656         2208 654
663 875        2184 875      668 906         2228 860
674 995        2195 997      702 956         2154 990
626 1087        2147 1091      626 1134         2148 1138
674 977        2195 979      636 988         2154 990
372 937        1891 938      356 996         1872 996
799 1020        2323 1023      786 1076         2310 1078
433 697        1953 696      396 690         1916 688
513 1040        2032 1042      518 1078         2038 1080
837 1098        2361 1102      786 1076         2310 1078
601 808        2121 806      556 820         2074 818
915 1143        2440 1147      888 1150         2412 1154
396 646        1916 645      396 690         1916 688
550 1101        2070 1104      518 1078         2038 1080
738 642        2261 638      744 598         2208 654
809 836        2333 835      806 800         2330 798
547 1091        2067 1094      518 1078         2038 1080
883 942        2408 943      894 898         2420 898
603 825        2123 824      556 820         2074 818
587 855        2107 854      556 820         2074 818
641 877        2161 877      630 840         2146 844
639 872        2160 873      630 840         2146 844
1126 826        2653 826      1118 772         2642 770
639 873        2160 873      630 840         2146 844
1178 1108        2703 1109      1144 1142         2668 1150
1178 1108        2703 1109      1144 1142         2668 1150
651 889        2172 889      668 906         2192 908
547 1071        2067 1074      518 1078         2038 1080
584 1119        2104 1122      626 1134         2148 1138
651 889        2172 889      668 906         2192 908
801 832        2325 831      806 800         2330 798
585 843        2105 843      556 820         2074 818
743 1037        2266 1041      786 1076         2310 1078
767 378        2289 378      730 372         2254 372
816 604        2340 600      830 556         2354 552
891 710        2416 707      900 678         2424 676
657 950        2178 951      636 988         2154 990
653 1032        2174 1035      636 988         2154 990
826 820        2351 819      806 800         2330 798
443 486        1964 485      450 434         1980 436
1168 858        2694 858      1158 896         2680 892
876 539        2400 535      830 556         2354 552
651 820        2172 819      630 840         2146 844
747 705        2269 701      734 756         2258 752
828 821        2352 820      806 800         2330 798
846 603        2370 599      830 556         2354 552
381 730        1900 729      396 690         1916 688
764 383        2287 382      730 372         2254 372
1074 895        2601 895      1088 860         2614 864
636 1035        2157 1038      636 988         2154 990
537 1003        2057 1005      580 1048         2100 1046
671 1143        2193 1147      626 1134         2148 1138
588 617        2108 614      592 586         2114 584
635 1036        2156 1039      636 988         2154 990
687 817        2208 816      722 784         2228 860
1140 860        2666 860      1158 896         2680 892
859 868        2384 868      894 898         2420 898
592 826        2112 825      556 820         2074 818
840 1061        2365 1064      786 1076         2310 1078
594 824        2114 823      556 820         2074 818
1159 611        2684 610      1166 656         2688 656
517 801        2036 799      556 820         2074 818
1140 1036        2666 1037      1112 1072         2636 1074
1142 1053        2667 1054      1112 1072         2636 1074
825 694        2349 691      786 710         2376 662
753 706        2276 704      734 756         2258 752
827 689        2351 686      786 710         2376 662
831 696        2355 694      786 710         2376 662
592 811        2113 810      556 820         2074 818
662 1127        2183 1131      626 1134         2148 1138
577 567        2097 564      592 586         2114 584
1153 813        2679 812      1118 772         2642 770
778 984        2301 986      756 1016         2282 1010
910 1136        2435 1140      888 1150         2412 1154
626 1171        2147 1175      626 1134         2148 1138
898 702        2424 700      900 678         2424 676
576 567        2097 564      592 586         2114 584
848 644        2373 640      850 666         2354 618
774 775        2297 773      722 784         2240 780
428 681        1948 679      396 690         1916 688
876 536        2400 533      830 556         2354 552
676 765        2198 763      734 756         2258 752
686 820        2208 819      722 784         2240 780
773 775        2296 773      722 784         2240 780
1143 547        2667 547      1126 512         2648 512
613 608        2134 604      592 586         2114 584
851 592        2375 588      830 556         2354 552
1155 728        2681 726      1118 772         2642 770
791 1008        2315 1011      756 1016         2282 1010
849 889        2374 889      894 898         2420 898
727 701        2249 698      688 656         2208 654
787 556        2310 552      830 556         2354 552
889 1178        2413 1181      888 1150         2412 1154
835 693        2359 690      786 710         2376 662
677 819        2199 818      722 784         2240 780
780 781        2304 779      806 800         2330 798
1146 548        2669 548      1126 512         2648 512
1165 1027        2690 1029      1182 1000         2704 990
1169 793        2695 793      1118 772         2642 770
796 864        2320 864      736 846         2348 866
736 1058        2258 1061      786 1076         2310 1078
591 560        2113 557      592 586         2114 584
544 996        2064 998      580 1048         2100 1046
692 379        2215 378      730 372         2254 372
749 975        2272 977      756 1016         2226 952
516 1109        2036 1112      518 1078         2038 1080
741 983        2264 985      756 1016         2226 952
787 1122        2310 1126      786 1076         2310 1078
764 814        2288 812      722 784         2240 780
391 654        1911 652      396 690         1916 688
643 904        2164 904      672 942         2192 908
1161 693        2686 692      1166 656         2688 656
881 697        2406 694      900 678         2424 676
1063 748        2589 746      1118 772         2642 770
1143 1191        2667 1193      1144 1142         2668 1150
1131 551        2654 551      1126 512         2648 512
1122 548        2646 547      1126 512         2648 512
513 819        2033 818      556 820         2074 818
688 824        2209 823      722 784         2240 780
1124 867        2651 867      1088 860         2614 864
873 697        2398 695      900 678         2424 676
1097 537        2621 536      1126 512         2648 512
706 796        2228 794      734 756         2258 752
729 915        2251 916      702 956         2226 952
682 996        2203 999      636 988         2226 952
662 856        2184 855      630 840         2146 844
859 1146        2383 1150      888 1150         2412 1154
1054 884        2581 885      1088 860         2614 864
628 657        2149 654      688 656         2208 654
672 603        2194 599      688 656         2208 654
1098 1114        2623 1116      1144 1142         2636 1074
661 834        2182 833      630 840         2228 860
815 517        2338 514      830 556         2354 552
880 1122        2405 1126      888 1150         2412 1154
673 602        2195 599      688 656         2208 654
668 775        2190 773      722 784         2240 780
800 854        2324 853      736 846         2348 866
591 1132        2111 1135      626 1134         2148 1138
715 1076        2237 1079      698 1104         2226 1100
1145 1084        2671 1085      1144 1142         2636 1074
623 652        2144 649      688 656         2208 654
1111 596        2635 595      1058 600         2582 598
728 903        2250 904      736 846         2228 860
488 1082        2007 1084      518 1078         2038 1080
618 592        2140 589      592 586         2114 584
657 833        2178 833      630 840         2228 860
680 746        2201 744      734 756         2258 752
1090 1155        2615 1157      1144 1142         2668 1150
519 1061        2038 1063      580 1048         2100 1046
566 587        2087 584      592 586         2114 584
691 1019        2209 1020      674 1074         2194 1056
1157 507        2679 508      1126 512         2648 512
682 1014        2205 1017      674 1074         2194 1056
1050 866        2578 866      1088 860         2614 864
1068 1059        2594 1061      1112 1072         2636 1074
1094 1151        2620 1154      1144 1142         2668 1150
655 863        2176 862      630 840         2228 860
754 964        2277 966      702 956         2226 952
1092 1116        2618 1118      1144 1142         2636 1074
589 1126        2110 1130      626 1134         2148 1138
331 946        1851 947      356 996         1872 996
818 664        2342 661      850 666         2376 662
879 560        2403 557      830 556         2354 552
566 574        2087 571      592 586         2114 584
839 643        2364 640      850 666         2354 618
875 1121        2400 1125      888 1150         2412 1154
1089 571        2613 569      1058 600         2582 598
728 972        2251 974      708 990         2250 1012
796 867        2320 867      736 846         2348 866
1086 359        2608 362      1072 300         2592 304
656 885        2177 885      702 862         2228 860
1142 868        2668 868      1158 896         2680 892
656 858        2177 858      630 840         2228 860
799 769        2323 767      806 800         2330 798
627 636        2148 633      688 656         2208 654
722 1071        2244 1074      698 1104         2226 1100
595 831        2115 830      556 820         2074 818
684 1015        2205 1017      674 1074         2194 1056
839 514        2362 511      830 556         2354 552
704 1028        2227 1031      674 1074         2194 1056
569 592        2090 589      592 586         2114 584
354 1047        1874 1048      356 996         1872 996
1090 513        2613 513      1126 512         2648 512
637 1050        2158 1052      580 1048         2100 1046
869 698        2394 695      854 702         2376 662
638 1064        2159 1068      580 1048         2100 1046
617 812        2137 811      630 840         2146 844
530 1109        2050 1112      518 1078         2038 1080
534 1107        2053 1111      518 1078         2038 1080
702 1026        2225 1030      674 1074         2194 1056
733 1065        2255 1068      786 1076         2310 1078
855 854        2380 853      868 826         2348 866
663 1161        2175 1174      626 1134         2148 1138
719 1037        2241 1040      674 1074         2250 1012
1129 1036        2655 1037      1112 1072         2636 1074
794 535        2317 531      830 556         2354 552
383 658        1903 657      396 690         1916 688
762 1035        2285 1038      786 1076         2310 1078
1194 1142        2718 1143      1144 1142         2668 1150
1007 308        2529 312      1072 300         2592 304
497 1046        2017 1048      518 1078         2038 1080
1207 671        2731 671      1166 656         2688 656
613 1101        2133 1105      580 1048         2148 1138
654 869        2175 869      630 840         2228 860
738 825        2260 824      722 784         2228 860
546 1049        2066 1052      518 1078         2038 1080
726 1041        2248 1044      674 1074         2250 1012
1133 1192        2657 1193      1144 1142         2668 1150
667 1112        2189 1115      698 1104         2148 1138
1049 865        2576 865      1088 860         2614 864
1131 724        2656 723      1118 772         2642 770
640 1038        2161 1041      580 1048         2100 1046
1182 1184        2706 1185      1144 1142         2668 1150
1137 1108        2662 1110      1112 1072         2636 1074
824 1033        2361 1053      786 1076         2310 1078
654 1170        2175 1174      626 1134         2148 1138
832 653        2356 649      850 666         2354 618
586 999        2106 1002      636 988         2154 990
882 861        2407 861      894 898         2420 898
930 925        2456 926      894 898         2420 898
819 1042        2343 1045      786 1076         2310 1078
729 610        2252 607      688 656         2208 654
660 598        2182 594      688 656         2208 654
806 1028        2330 1031      786 1076         2310 1078
361 692        1881 691      396 690         1916 688
648 864        2169 864      630 840         2146 844
859 522        2383 519      830 556         2354 552
904 646        2429 643      900 678         2424 676
745 940        2269 942      702 956         2226 952
653 842        2174 841      702 862         2228 860
336 1044        1857 1046      356 996         1872 996
338 1047        1858 1049      356 996         1872 996
790 871        2314 871      736 846         2348 866
913 1177        2439 1179      888 1150         2412 1154
766 1033        2289 1036      786 1076         2310 1078
648 1174        2173 1176      626 1134         2148 1138
915 858        2441 857      894 898         2420 898
764 759        2287 757      722 784         2240 780
1199 644        2723 644      1166 656         2688 656
650 853        2171 852      702 862         2228 860
1066 771        2593 770      1118 772         2642 770
635 1058        2156 1061      580 1048         2100 1046
911 1121        2439 1128      888 1150         2412 1154
628 946        2149 948      636 988         2154 990
920 1168        2445 1172      888 1150         2412 1154
1174 1191        2698 1192      1144 1142         2668 1150
690 1006        2211 1009      702 956         2250 1012
1051 844        2578 847      1088 860         2614 864
1050 848        2578 849      1088 860         2614 864
1051 850        2578 849      1088 860         2614 864
1051 847        2578 846      1088 860         2614 864
713 1127        2235 1131      674 1074         2226 1100
796 1121        2320 1124      786 1076         2310 1078
656 600        2177 597      688 656         2208 654
693 1008        2217 1012      702 956         2250 1012
879 664        2404 660      900 678         2424 676
641 1020        2162 1022      674 1074         2100 1046
934 918        2461 919      894 898         2420 898
1175 1190        2699 1191      1144 1142         2668 1150
515 808        2034 806      556 820         2074 818
839 840        2363 839      868 826         2348 866
565 856        2085 856      556 820         2074 818
924 932        2450 933      894 898         2420 898
834 844        2358 842      868 826         2348 866
379 939        1898 940      356 996         1872 996
911 1178        2439 1179      888 1150         2412 1154
583 780        2111 785      556 820         2074 818
1137 1101        2663 1103      1112 1072         2668 1150
819 1028        2341 1030      786 1076         2310 1078
878 564        2402 561      830 556         2354 552
714 1034        2236 1037      674 1074         2250 1012
569 859        2088 859      556 820         2074 818
861 530        2385 527      830 556         2354 552
1136 1199        2139 1183      1144 1142         2148 1138
712 1033        2234 1035      674 1074         2250 1012
1073 241        2593 247      1072 300         2592 304
690 1070        2212 1073      698 1104         2226 1100
1134 870        2660 870      1158 896         2680 892
1068 786        2594 785      1118 772         2642 770
1195 689        2721 687      1166 656         2688 656
519 835        2039 835      556 820         2074 818
1132 312        2652 317      1072 300         2592 304
1088 556        2611 555      1058 600         2582 598
1187 696        2713 694      1166 656         2688 656
415 402        1938 403      450 434         1980 436
873 578        2398 575      830 556         2354 552
818 1121        2341 1126      786 1076         2310 1078
1144 726        2669 725      1118 772         2642 770
828 731        2352 728      786 710         2316 728
699 1016        2222 1020      674 1074         2250 1012
869 523        2393 520      830 556         2354 552
618 1179        2139 1183      626 1134         2148 1138
593 1165        2121 1176      626 1134         2148 1138
297 990        1817 990      356 996         1872 996
860 1157        2384 1161      888 1150         2412 1154
860 929        2384 929      894 898         2420 898
442 383        1965 384      450 434         1980 436
1108 1173        2633 1175      1144 1142         2668 1150
1147 727        2672 727      1118 772         2642 770
837 1049        2341 1030      786 1076         2310 1078
654 1110        2174 1113      626 1134         2148 1138
484 1099        2004 1102      518 1078         2038 1080
553 1057        2073 1060      518 1078         2038 1080
747 332        2270 333      730 372         2254 372
391 1043        1910 1045      356 996         1872 996
614 559        2137 557      592 586         2114 584
867 1180        2390 1183      888 1150         2412 1154
425 386        1948 388      450 434         1980 436
864 1178        2390 1183      888 1150         2412 1154
1091 242        2611 248      1072 300         2592 304
597 796        2111 785      556 820         2074 818
1154 538        2677 538      1126 512         2648 512
856 1169        2390 1183      888 1150         2412 1154
921 919        2442 926      894 898         2420 898
1075 557        2600 556      1058 600         2582 598
1163 524        2677 538      1126 512         2648 512
