  x      y         
768   370     157
674   986     217
652   938     7
792   990     94
792   988     95
897   796     15
792   992     93
652   937     7
627   666     65
897   799     12
663   875     111
556   1087     76
674   995     166
531   1040     66
626   1087     21
415   1011     40
674   977     202
372   937     57
833   1081     107
404   1029     44
832   1065     101
524   1074     33
570   774     107
799   1020     108
404   1032     41
404   1031     44
352   934     63
828   1113     6
433   697     95
897   1114     12
513   1040     55
837   1098     105
802   1018     106
415   651     95
881   1113     18
597   843     18
391   727     89
656   1128     34
491   1052     60
391   728     88
674   802     92
490   1050     48
701   891     43
601   808     116
490   1050     48
791   998     93
414   983     48
557   1069     4
915   1143     86
916   1154     61
360   944     56
522   1047     8
681   1002     109
396   646     25
671   1019     247
900   943     51
482   1068     57
686   893     45
599   842     36
600   842     102
522   1047     8
413   1003     45
539   865     6
687   801     78
550   1101     73
547   1091     71
896   803     88
1148   820     60
704   596     127
667   1007     78
738   642     114
557   868     7
415   1005     45
637   895     118
809   836     12
904   854     49
668   948     12
547   1091     71
883   942     69
603   825     5
587   855     18
641   877     31
792   757     126
706   594     126
540   1084     68
865   1120     62
835   790     146
838   820     147
671   818     7
671   1021     247
835   804     9
670   938     17
671   1022     248
630   937     61
888   853     141
639   872     71
1126   826     170
639   873     68
799   760     27
1178   1108     61
855   1134     100
826   1101     105
1185   1108     153
549   1072     69
1178   1108     61
551   1104     73
665   1007     108
1097   898     158
826   832     33
401   733     72
1190   1109     153
405   1002     46
651   889     111
630   1068     57
1108   714     93
788   764     128
1108   715     99
922   675     49
669   1033     241
547   1071     71
789   1034     113
1192   1109     151
592   1104     48
683   1003     110
906   711     18
638   1071     37
584   1119     5
669   1031     246
651   889     111
633   1096     72
801   832     21
679   877     36
645   1068     11
1123   914     162
585   843     27
1127   829     170
743   1040     101
592   1102     4
743   1037     103
767   378     167
766   380     137
816   604     56
792   835     22
633   1097     73
559   782     16
582   1120     2
1124   914     162
891   710     10
872   858     131
674   799     94
575   555     115
870   557     164
731   639     116
657   950     7
586   844     27
548   863     7
1126   714     110
744   1037     102
639   943     14
861   594     166
683   593     129
626   1107     73
831   640     149
644   1033     71
790   836     8
870   543     168
813   605     22
673   1042     56
833   805     12
814   506     152
840   1063     100
628   935     77
680   805     71
536   1000     48
653   1032     74
681   876     39
681   975     85
772   637     118
826   820     42
719   967     87
638   945     13
770   640     117
443   486     25
1168   858     181
708   562     145
655   1033     75
876   539     163
651   820     7
682   876     36
662   1141     48
787   887     26
1132   857     180
747   705     75
782   886     126
829   784     147
863   594     169
765   363     157
828   821     30
868   542     171
864   594     165
841   786     149
846   603     162
526   796     39
790   749     122
381   730     73
764   383     26
1074   895     250
499   442     8
636   1035     95
763   1061     96
819   678     4
537   1003     65
671   1143     47
745   636     117
750   706     72
588   617     25
635   1036     95
647   1065     23
762   1061     100
1068   651     143
433   683     96
741   1003     104
646   961     20
649   1066     85
687   817     13
650   1065     81
826   1054     8
724   734     116
678   817     5
740   834     129
587   1041     69
1140   860     71
642   949     9
426   713     90
859   868     136
1170   856     180
661   1142     49
639   1067     39
922   1157     33
725   736     121
890   801     4
592   826     30
1155   982     146
782   982     246
840   1061     111
931   904     31
594   824     22
827   695     105
425   713     91
762   387     24
825   597     7
724   413     82
672   1127     40
662   929     12
1159   611     90
517   801     102
867   541     160
1140   1036     143
649   1062     2
1141   1053     132
819   682     95
1142   1053     44
735   684     99
1151   984     51
825   694     102
921   1139     44
1055   648     155
396   965     47
753   706     89
895   809     134
671   882     34
827   689     119
826   689     116
822   662     22
866   1134     105
544   1004     65
431   689     96
681   711     60
831   696     111
784   991     245
777   717     100
825   596     16
592   811     46
707   580     143
564   566     92
1155   1058     129
1069   549     20
497   446     59
864   875     21
635   619     121
705   579     140
662   1127     41
769   793     22
707   581     136
827   690     106
577   567     32
1153   813     171
778   984     10
910   1136     59
626   1171     8
928   905     32
841   1082     107
774   798     24
822   666     9
632   1039     92
780   978     35
1114   823     186
621   1056     78
898   702     9
576   567     31
765   1060     41
848   644     159
539   1006     61
635   621     119
1114   890     20
774   775     142
682   972     59
867   1133     102
854   718     113
428   681     96
876   536     161
1110   1031     131
676   765     92
880   797     7
1100   903     161
686   820     17
