x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
211 548        1928 549      138 542         1850 538    76.0
211 540        2932 581      138 542         2884 564    76.0
107 607        1829 616      138 542         1850 538    76.0
112 608        1775 551      138 542         1850 538    76.0
78 593        1787 582      138 542         1850 538    76.0
92 602        1812 607      138 542         1850 538    76.0
217 528        2943 580      138 542         2884 564    76.0
103 603        1830 613      138 542         1850 538    76.0
130 621        2910 618      138 542         2884 564    76.0
191 588        1782 565      138 542         1850 538    76.0
173 653        1895 668      198 628         1942 632    32.0
211 691        1902 669      256 630         1942 632    71.0
188 653        1894 669      256 630         1942 632    71.0
197 674        1894 669      256 630         1942 632    71.0
212 454        2678 518      256 522         2624 546    74.0
249 909        1909 903      278 880         1944 884    46.0
246 906        1909 903      278 880         1944 884    46.0
234 883        1904 885      278 880         1944 884    46.0
248 908        1907 900      278 880         1944 884    46.0
243 860        1910 865      278 880         1944 884    46.0
214 775        2238 811      280 776         2312 788    70.0
214 777        2782 716      280 776         2852 756    70.0
328 1063        2207 1013      300 1066         2248 1078    31.0
413 1112        2042 1110      380 1064         2006 1064    58.0
360 1122        1990 1121      380 1064         2006 1064    58.0
362 1122        1990 1121      380 1064         2006 1064    58.0
381 1125        2007 1123      380 1064         2006 1064    58.0
440 929        2079 917      392 962         2026 940    61.0
384 279        2059 285      412 314         2090 320    50.0
445 356        2114 359      412 314         2090 320    50.0
377 270        2066 269      412 314         2090 320    50.0
411 364        2902 371      412 314         2956 320    50.0
442 358        2111 362      412 314         2090 320    50.0
398 1109        2019 1110      442 1150         2052 1146    62.0
397 1109        2019 1110      442 1150         2052 1146    62.0
432 979        2049 983      492 1028         2114 1018    71.0
457 613        2098 607      496 642         2128 646    52.0
467 747        2194 734      502 698         2242 700    62.0
456 738        2194 734      502 698         2242 700    62.0
467 756        2803 663      502 698         2742 690    62.0
458 740        2197 738      502 698         2242 700    62.0
437 404        2582 339      504 414         2544 392    64.0
521 346        2209 374      504 414         2234 420    64.0
481 288        2994 254      524 310         2956 320    48.0
521 262        2180 261      524 310         2170 306    48.0
517 260        2181 256      524 310         2170 306    48.0
479 528        2748 540      536 566         2788 606    63.0
595 538        2210 538      536 566         2264 594    63.0
479 530        2748 540      536 566         2788 606    63.0
647 1000        2306 1033      586 996         2262 996    65.0
622 1042        2298 1040      586 996         2322 982    65.0
564 1063        2221 1050      586 996         2262 996    65.0
640 268        2272 259      610 244         2252 242    38.0
643 263        2272 260      610 244         2252 242    38.0
644 266        2272 259      610 244         2252 242    38.0
690 585        2439 602      624 618         2368 638    76.0
693 609        2434 618      624 618         2368 638    76.0
552 580        2176 577      624 618         2208 602    76.0
680 565        2425 587      624 618         2368 638    76.0
692 588        2434 594      624 618         2368 638    76.0
694 590        2409 578      624 618         2368 638    76.0
694 588        2409 578      624 618         2368 638    76.0
688 584        2209 536      624 618         2264 594    76.0
622 109        2264 108      640 168         2294 160    66.0
638 104        2237 142      640 168         2294 160    66.0
626 108        2264 108      640 168         2294 160    66.0
701 1190        2336 1186      650 1196         2288 1194    48.0
673 1241        2310 1238      650 1196         2288 1194    48.0
650 448        2258 446      672 468         2280 468    35.0
649 442        2257 441      672 468         2280 468    35.0
689 553        2434 594      678 630         2368 638    75.0
686 558        2434 594      678 630         2368 638    75.0
757 567        2426 553      680 560         2396 538    73.0
747 572        2356 518      680 560         2282 532    73.0
747 562        2417 571      680 560         2396 538    73.0
744 524        2417 571      680 560         2396 538    73.0
755 565        2426 553      680 560         2396 538    73.0
748 554        2415 563      680 560         2396 538    73.0
746 525        2417 571      680 560         2396 538    73.0
754 561        2426 553      680 560         2396 538    73.0
758 558        2428 566      680 560         2396 538    73.0
756 566        2426 553      680 560         2396 538    73.0
748 581        2494 606      680 560         2466 578    73.0
754 538        2113 556      680 560         2072 580    73.0
652 246        2280 250      706 240         2252 242    59.0
668 288        2271 264      706 240         2252 242    59.0
655 256        2283 260      706 240         2358 248    59.0
656 265        2284 262      706 240         2358 248    59.0
651 249        2284 266      706 240         2358 248    59.0
812 435        2504 430      742 436         2436 428    76.0
749 354        2432 351      742 436         2436 428    76.0
773 583        2410 644      758 654         2422 682    76.0
775 1274        2417 1271      774 1300         2452 1326    20.0
774 1090        2391 1057      782 1042         2464 1066    44.0
762 926        2381 916      794 962         2410 980    52.0
768 921        2381 916      794 962         2410 980    52.0
773 604        2436 599      810 634         2368 638    51.0
772 597        2434 594      810 634         2368 638    51.0
780 672        1900 669      810 634         1942 632    51.0
774 605        2441 606      810 634         2368 638    51.0
774 590        2409 578      810 634         2368 638    51.0
892 583        2512 580      826 566         2466 578    73.0
761 611        2115 562      826 566         2072 580    73.0
853 630        2488 615      826 566         2466 578    73.0
815 226        2484 210      830 286         2486 282    58.0
860 237        2452 217      830 286         2486 282    58.0
812 225        2502 232      830 286         2532 262    58.0
855 238        2502 232      830 286         2532 262    58.0
869 327        2511 349      830 286         2486 282    58.0
864 239        2499 230      830 286         2532 262    58.0
846 236        2490 211      830 286         2486 282    58.0
826 228        2503 217      830 286         2486 282    58.0
820 226        2492 214      830 286         2486 282    58.0
928 401        2558 431      866 422         2594 450    70.0
935 409        2567 413      866 422         2594 450    70.0
932 432        2567 413      866 422         2594 450    70.0
924 380        2582 410      866 422         2594 450    70.0
934 414        2567 416      866 422         2594 450    70.0
824 367        2532 326      866 422         2544 392    70.0
933 404        2567 413      866 422         2594 450    70.0
935 405        2567 413      866 422         2594 450    70.0
918 460        2551 434      866 422         2594 450    70.0
933 393        2562 435      866 422         2594 450    70.0
932 671        2536 672      882 718         2572 736    71.0
932 673        2536 672      882 718         2572 736    71.0
929 672        2533 673      882 718         2572 736    71.0
862 643        2476 662      882 718         2466 708    71.0
927 671        2533 673      882 718         2572 736    71.0
927 669        2533 673      882 718         2572 736    71.0
870 228        2520 221      882 268         2486 282    38.0
928 671        2533 673      882 718         2572 736    71.0
929 670        2533 673      882 718         2572 736    71.0
