x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
79 276        1780 277      12 300         1752 276    71.0
31 228        2320 243      12 300         2288 300    71.0
52 241        1734 228      12 300         1690 282    71.0
65 259        1764 259      12 300         1752 276    71.0
60 359        1618 302      12 300         1690 282    71.0
60 246        1652 221      12 300         1690 282    71.0
54 849        2681 816      58 790         2718 754    57.0
91 237        2087 195      66 214         2158 202    37.0
146 842        1804 883      78 868         1880 886    70.0
136 823        2197 799      78 868         2216 860    70.0
98 570        2168 537      98 516         2104 502    57.0
99 759        1761 758      98 712         1768 702    52.0
167 933        2481 925      98 946         2538 970    73.0
100 758        1761 758      98 712         1768 702    52.0
108 875        1762 879      98 946         1760 926    73.0
148 699        2305 718      98 712         2274 688    52.0
98 654        1769 654      98 712         1768 702    52.0
126 674        2824 675      98 712         2798 704    52.0
38 507        2679 476      98 516         2728 484    57.0
52 482        2683 577      98 516         2746 542    57.0
26 952        2792 955      98 946         2746 992    73.0
73 568        2694 506      98 516         2618 486    57.0
97 270        1969 251      102 342         1976 306    73.0
115 334        2463 324      102 412         2498 394    73.0
131 269        2596 276      102 342         2594 348    73.0
119 343        2619 364      102 412         2694 364    73.0
167 313        1927 314      102 342         1976 306    73.0
124 336        2409 313      102 412         2436 378    73.0
108 341        2393 320      102 412         2436 378    73.0
31 433        2509 372      102 412         2436 378    73.0
175 321        1925 324      102 342         1976 306    73.0
26 343        2729 291      102 342         2694 364    73.0
30 427        2509 375      102 412         2436 378    73.0
49 465        2497 388      102 412         2436 378    73.0
179 423        2756 398      102 412         2694 364    73.0
107 273        2596 276      102 342         2594 348    73.0
177 345        1714 334      102 342         1762 362    73.0
147 290        2405 297      102 342         2374 328    73.0
171 313        1927 314      102 342         1976 306    73.0
66 477        2864 488      102 412         2804 454    73.0
107 327        2372 304      106 258         2338 264    73.0
119 679        1787 672      140 616         1830 612    70.0
69 589        1744 588      140 616         1692 630    70.0
70 618        2818 589      140 616         2856 586    70.0
107 778        1767 779      142 784         1806 772    39.0
147 975        1787 973      158 924         1760 926    53.0
226 222        2126 216      162 210         2096 190    69.0
150 274        1818 277      162 210         1790 214    69.0
210 266        1818 277      162 210         1790 214    69.0
154 282        2150 274      162 210         2158 202    69.0
125 266        1838 263      162 210         1790 214    69.0
155 266        2160 313      164 314         2088 316    52.0
117 289        1943 270      164 314         1976 306    52.0
119 292        1946 265      164 314         1976 306    52.0
122 282        2424 236      164 314         2434 316    52.0
154 266        1866 262      164 314         1894 304    52.0
168 265        2596 276      164 314         2594 348    52.0
117 284        1855 278      164 314         1894 304    52.0
122 282        1854 274      164 314         1894 304    52.0
151 958        2791 972      172 1002         2746 992    53.0
149 1044        1791 1042      172 1002         1820 998    53.0
220 1030        1862 1027      172 1002         1820 998    53.0
220 1030        1862 1027      172 1002         1820 998    53.0
214 1036        1856 1032      172 1002         1820 998    53.0
214 1036        1856 1032      172 1002         1820 998    53.0
163 1052        1803 1050      172 1002         1820 998    53.0
143 1044        1785 1042      172 1002         1820 998    53.0
163 1049        1791 1042      172 1002         1820 998    53.0
206 1048        1837 1048      172 1002         1820 998    53.0
143 1044        1787 1044      172 1002         1820 998    53.0
140 1043        1785 1042      172 1002         1820 998    53.0
201 958        2721 949      172 1002         2746 992    53.0
142 1044        1787 1044      172 1002         1820 998    53.0
222 484        1961 496      174 458         1906 462    59.0
248 1050        2491 1111      188 1082         2522 1044    66.0
118 804        1788 804      198 804         1858 814    75.0
251 757        2036 766      198 804         1990 816    75.0
136 757        2234 813      198 804         2158 816    75.0
140 762        1808 768      198 804         1858 814    75.0
117 800        1788 804      198 804         1858 814    75.0
128 777        1791 801      198 804         1858 814    75.0
134 833        1784 809      198 804         1858 814    75.0
148 861        1791 816      198 804         1858 814    75.0
243 858        2583 821      198 804         2514 810    75.0
123 773        2213 719      198 804         2218 796    75.0
258 335        2881 404      200 368         2872 340    70.0
220 434        1964 434      200 368         1960 364    70.0
221 434        1964 434      200 368         1960 364    70.0
242 676        1959 650      206 714         1934 716    56.0
244 671        1961 646      206 714         1934 716    56.0
166 754        1883 771      206 714         1934 716    56.0
174 761        1867 748      206 714         1934 716    56.0
156 689        2100 765      206 714         2112 700    56.0
258 608        2663 584      206 618         2734 624    55.0
179 761        2505 784      206 714         2504 732    56.0
181 764        1845 738      206 714         1834 688    56.0
204 664        1899 647      206 714         1934 716    56.0
166 747        2535 789      206 714         2568 728    56.0
244 672        1961 646      206 714         1934 716    56.0
293 871        2641 822      226 898         2686 878    76.0
297 934        2012 914      226 898         1940 928    76.0
162 863        1813 857      226 898         1880 886    76.0
158 864        1813 857      226 898         1880 886    76.0
153 882        1802 883      226 898         1880 886    76.0
301 877        2621 890      226 898         2680 938    76.0
150 868        1957 935      226 898         1982 884    76.0
156 854        2281 869      226 898         2216 860    76.0
153 885        1802 883      226 898         1880 886    76.0
298 934        2012 914      226 898         1940 928    76.0
208 252        1864 256      228 286         1894 304    35.0
216 268        1817 280      234 222         1790 214    45.0
217 263        1831 278      234 222         1790 214    45.0
199 386        2709 390      240 440         2664 446    65.0
289 405        2400 390      240 440         2426 446    65.0
211 504        1703 449      240 440         1656 418    65.0
301 412        2455 392      240 440         2426 446    65.0
209 989        2012 1015      268 1000         1942 1014    63.0
246 1065        1897 1065      268 1000         1942 1014    63.0
261 1062        1923 1083      268 1000         1942 1014    63.0
200 987        1843 981      268 1000         1880 996    63.0
200 1009        1841 1012      268 1000         1880 996    63.0
223 674        1945 644      268 726         1934 716    71.0
235 1058        1883 1057      268 1000         1942 1014    63.0
236 1057        1878 1051      268 1000         1942 1014    63.0
252 262        1859 274      284 326         1894 304    73.0
324 258        2224 317      284 326         2288 300    73.0
292 258        1854 276      284 326         1894 304    73.0
342 773        1951 760      284 812         1990 816    75.0
275 648        1758 638      284 626         1830 612    26.0
226 276        1852 288      284 326         1894 304    73.0
305 739        2018 742      284 812         1990 816    75.0
216 775        2646 753      284 812         2634 828    75.0
235 276        1849 287      284 326         1894 304    73.0
254 255        1863 267      284 326         1894 304    73.0
243 266        1845 278      284 326         1894 304    73.0
215 326        1930 330      284 326         1894 304    73.0
257 257        1809 279      284 326         1810 306    73.0
230 281        2135 295      284 326         2160 362    73.0
227 854        1922 822      284 812         1990 816    75.0
241 264        1859 274      284 326         1894 304    73.0
268 260        1854 274      284 326         1894 304    73.0
226 856        1922 822      284 812         1990 816    75.0
237 435        1979 436      302 464         2042 470    69.0
369 443        2234 467      302 464         2238 438    69.0
238 477        2236 462      302 464         2238 438    69.0
229 468        1970 474      302 464         2042 470    69.0
307 978        2488 901      306 904         2506 874    75.0
257 519        1945 519      306 568         1910 578    72.0
373 591        2014 592      306 568         1982 594    72.0
289 979        1977 942      306 904         1982 884    75.0
334 792        2289 757      328 766         2356 732    28.0
379 368        2506 375      330 396         2436 378    58.0
381 385        2463 324      330 396         2498 394    58.0
374 355        2663 289      330 396         2694 364    58.0
373 353        2666 289      330 396         2694 364    58.0
322 342        2171 318      330 396         2220 380    58.0
383 361        2062 328      330 396         2084 390    58.0
381 383        2475 323      330 396         2436 378    58.0
344 343        2204 309      330 396         2220 380    58.0
321 344        2171 318      330 396         2220 380    58.0
347 337        2626 403      330 396         2694 364    58.0
381 408        2508 368      330 396         2436 378    58.0
340 986        2028 1012      334 1046         2062 1054    60.0
284 1081        1937 1078      334 1046         1976 1066    60.0
286 1076        2604 1044      334 1046         2648 1006    60.0
326 330        1854 274      342 304         1894 304    32.0
343 629        1888 666      346 704         1934 716    76.0
286 756        1996 757      346 704         1934 716    76.0
420 708        1989 676      346 704         1934 716    76.0
304 773        2288 755      346 704         2356 732    76.0
282 754        1996 757      346 704         1934 716    76.0
427 698        2055 724      346 704         2112 700    76.0
267 715        2656 694      346 704         2612 686    76.0
400 892        2115 858      350 846         2154 876    73.0
404 890        2104 860      350 846         2070 874    73.0
388 782        2095 774      350 846         2158 816    73.0
409 889        2104 860      350 846         2070 874    73.0
329 910        2633 923      350 846         2686 878    73.0
401 1125        2066 1123      352 1146         2018 1144    48.0
363 1105        2034 1105      352 1146         2018 1144    48.0
314 1114        1981 1116      352 1146         2018 1144    48.0
303 1122        1970 1125      352 1146         2018 1144    48.0
376 1110        2040 1108      352 1146         2018 1144    48.0
356 1102        2028 1101      352 1146         2018 1144    48.0
323 1178        1991 1175      352 1146         2018 1144    48.0
361 1104        2034 1105      352 1146         2018 1144    48.0
358 1103        2028 1101      352 1146         2018 1144    48.0
306 1121        1973 1124      352 1146         2018 1144    48.0
345 282        2495 236      360 240         2522 268    48.0
346 283        2005 284      360 240         2024 240    48.0
318 224        1982 224      360 240         2024 240    48.0
318 223        1982 224      360 240         2024 240    48.0
316 231        1980 229      360 240         2024 240    48.0
385 454        2028 408      362 456         2042 470    20.0
313 980        2452 944      372 934         2398 900    71.0
345 1001        2029 1002      372 934         2068 936    71.0
362 1005        2043 1005      372 934         2068 936    71.0
321 983        2005 963      372 934         2068 936    71.0
429 1198        2129 1229      384 1258         2064 1246    74.0
421 1192        2092 1185      384 1258         2064 1246    74.0
416 1197        2114 1209      384 1258         2064 1246    74.0
334 842        2045 840      388 792         2080 776    75.0
338 1015        2024 1008      400 1042         2062 1054    73.0
341 1079        2014 1044      400 1042         1942 1014    73.0
422 1111        2340 1087      400 1042         2288 1038    73.0
463 1068        2603 1049      400 1042         2648 1006    73.0
323 1059        1993 1058      400 1042         1942 1014    73.0
334 1069        2011 1071      400 1042         2062 1054    73.0
426 563        2059 562      406 498         2104 502    68.0
425 432        2524 486      406 498         2446 508    68.0
443 635        2073 634      408 698         2044 708    75.0
421 626        2037 629      408 698         2044 708    75.0
464 649        2096 644      408 698         2112 700    75.0
463 646        2096 644      408 698         2112 700    75.0
417 778        2640 704      408 698         2568 728    75.0
373 625        2443 616      408 698         2456 692    75.0
464 649        2096 644      408 698         2112 700    75.0
462 644        2096 644      408 698         2112 700    75.0
409 663        2037 663      410 604         2044 604    55.0
448 643        2080 642      410 604         2044 604    55.0
408 664        2037 663      410 604         2044 604    55.0
442 645        2071 645      410 604         2044 604    55.0
